category,car_name,image_url,2025-09-23
Premium,Toyota Corolla Levin (AE86) Custom Elite 64 1:64 JCV06 White,https://retromagaz.com/uploads/products/d4/4c/site_fvktm5aa5_e33c91d9.webp,1599.0
Premium,McLaren Formula 1 Team (#4) Formula One 1:64 JBM11 Orange,https://retromagaz.com/uploads/products/9e/6c/site_fvmicjfts_41346c43.webp,1199.0
Premium,KICK Sauber F1 Team (#24) Formula One 1:64 JBM23 Green,https://retromagaz.com/uploads/products/aa/b0/site_fvmim8kaj_150619d3.webp,1099.0
Premium,McLaren Formula 1 Team (#81) Formula One 1:64 JBM25 Orange,https://retromagaz.com/uploads/products/b0/b1/site_fvmietpsa_f4b654ba.webp,1099.0
Premium,Bugatti Bolide Chase EuroSpeed 1:64 JBK80 Black,https://retromagaz.com/uploads/products/8d/fa/site_fvpq890ab_24321658.webp,2999.0
Premium,2022 Ford Mustang Shelby GT500 Code Red Red Line Club RLC 1:64 HWF05 Silver,https://retromagaz.com/uploads/products/7b/b7/site_fp9be25p5_08fb23e3.webp,2999.0
Premium,'21 Pagani Huayra R Red Line Club RLC 1:64 HWF21 Blue,https://retromagaz.com/uploads/products/86/ac/site_fp9bk6ihi_3ca29c32.webp,2299.0
Super Treasure Hunt,Aston Martin DB4GT High-Speed Edition Zamac Super Treasure Hunt STH Dream Garage 1:64 JBC39 Gold,https://retromagaz.com/uploads/products/a0/93/site_ftojrj6fa_e42994d8.webp,2499.0
MainLine,'99 Honda Civic Type R (EK9) Red Edition 1:64 HCY63 Red,https://retromagaz.com/uploads/products/fc/c2/site_fs3f37ep8_c4a47f29.webp,1999.0
Premium,2024 Toyota Land Cruiser Chase Off-Road 1:64 JBK75 Black,https://retromagaz.com/uploads/products/7d/25/site_fsqqdhuk8_36795e0a.webp,2699.0
Super Treasure Hunt,'83 Chevy Silverado Super Treasure Hunt STH Then and Now 1:64 HTF44 Blue,https://retromagaz.com/uploads/products/99/a8/site_fpha5k894_83bac109.webp,2299.0
Super Treasure Hunt,Hirohata Merc Super Treasure Hunt STH Rod Squad 1:64 JBC36 Purple,https://retromagaz.com/uploads/products/73/03/site_fnsahdr1d_9a6af82b.webp,2299.0
Premium,"""Rexy"" Porsche 911 GT3 R (992) Chase Race Day 1:64 HRV96 Pink",https://retromagaz.com/uploads/products/7d/67/site_foekq3ev6_5ef058ec.webp,9999.0
Super Treasure Hunt,'20 Jeep Gladiator Super Treasure Hunt STH Dirt 1:64 JBC40 Black,https://retromagaz.com/uploads/products/ae/89/site_fpqtl3fl6_52f2c311.webp,2199.0
Super Treasure Hunt,'71 Mustang Funny Car Super Treasure Hunt STH Mustang 60th 1:64 JBC42 Red,https://retromagaz.com/uploads/products/d2/23/site_fti39f601_a5165720.webp,2299.0
Premium,Lancia Stratos Zero Chase Hammer Drop 1:64 HRW10 Black,https://retromagaz.com/uploads/products/6a/d8/site_fthckq82c_6e77785a.webp,2299.0
Premium,Premium Matchbox 2022 Mercedes-Benz EQS Collectors 1:64 HVW23 Red,https://retromagaz.com/uploads/products/24/e5/site_fth87g495_1d673d66.webp,649.0
